Algo,Source,Target
PC,cb_000,ck_000
PC,cb_000,ag_009
PC,ck_000,class
PC,ag_009,ck_000
PC,ag_009,class
PC,br_000,cb_000
PC,br_000,ck_000
PC,br_000,ag_009
PC,br_000,bk_000
PC,br_000,ba_008
PC,br_000,az_006
PC,bk_000,cb_000
PC,bk_000,ck_000
PC,bk_000,ag_009
PC,bk_000,cn_001
PC,bk_000,ba_008
PC,bk_000,az_006
PC,cn_001,cb_000
PC,cn_001,ck_000
PC,cn_001,ag_009
PC,cn_001,az_006
PC,cn_001,class
PC,ba_008,cb_000
PC,ba_008,ck_000
PC,ba_008,ag_009
PC,ba_008,cn_001
PC,ba_008,az_006
PC,ba_008,class
PC,az_006,ck_000
PC,az_006,ag_009
PC,az_006,class
PC,dg_000,cb_000
PC,dg_000,ck_000
PC,dg_000,cn_001
PC,dg_000,ba_008
PC,dg_000,az_006
PC,dg_000,class
PC,ay_000,cb_000
PC,ay_000,ck_000
PC,ay_000,ag_009
PC,ay_000,bk_000
PC,ay_000,cn_001
PC,ay_000,ba_008
PC,ay_000,az_006
PC,ay_000,class
LiNGAM,cb_000,ck_000
LiNGAM,cb_000,az_006
LiNGAM,cb_000,class
LiNGAM,ck_000,class
LiNGAM,ag_009,cb_000
LiNGAM,ag_009,ck_000
LiNGAM,ag_009,ba_008
LiNGAM,ag_009,class
LiNGAM,br_000,cb_000
LiNGAM,br_000,ba_008
LiNGAM,br_000,class
LiNGAM,bk_000,br_000
LiNGAM,bk_000,ba_008
LiNGAM,bk_000,class
LiNGAM,cn_001,ck_000
LiNGAM,cn_001,ag_009
LiNGAM,cn_001,ba_008
LiNGAM,cn_001,class
LiNGAM,ba_008,cb_000
LiNGAM,ba_008,ck_000
LiNGAM,ba_008,az_006
LiNGAM,ba_008,class
LiNGAM,az_006,ck_000
LiNGAM,dg_000,cb_000
LiNGAM,dg_000,ck_000
LiNGAM,dg_000,ag_009
LiNGAM,dg_000,cn_001
LiNGAM,dg_000,az_006
LiNGAM,dg_000,class
LiNGAM,ay_000,cb_000
LiNGAM,ay_000,ba_008
LiNGAM,ay_000,class
