Algo,Source,Target
PC,cb_000,ck_000
PC,ck_000,class
PC,ac_000,cb_000
PC,ac_000,ck_000
PC,ac_000,ag_009
PC,ac_000,bc_000
PC,ac_000,ba_008
PC,ac_000,cn_001
PC,ac_000,az_006
PC,ag_009,cb_000
PC,ag_009,ck_000
PC,ag_009,bq_000
PC,ag_009,cn_001
PC,ag_009,class
PC,ai_000,cb_000
PC,ai_000,ck_000
PC,ai_000,ag_009
PC,ai_000,bc_000
PC,ai_000,ba_008
PC,ai_000,cn_001
PC,ai_000,az_006
PC,ai_000,class
PC,bq_000,ck_000
PC,bq_000,bc_000
PC,bm_000,cb_000
PC,bm_000,bq_000
PC,bm_000,bk_000
PC,bk_000,cb_000
PC,bk_000,ck_000
PC,bk_000,bq_000
PC,bk_000,cn_001
PC,bc_000,cb_000
PC,bc_000,ck_000
PC,bc_000,ag_009
PC,bc_000,ba_008
PC,bc_000,cn_001
PC,bc_000,az_006
PC,bc_000,class
PC,ba_008,ck_000
PC,ba_008,bq_000
PC,ba_008,class
PC,cn_001,cb_000
PC,cn_001,ck_000
PC,cn_001,ba_008
PC,cn_001,class
PC,az_006,cb_000
PC,az_006,ck_000
PC,az_006,bq_000
PC,az_006,ba_008
PC,az_006,cn_001
PC,az_006,class
PC,ay_000,cb_000
PC,ay_000,ck_000
PC,ay_000,ag_009
PC,ay_000,bk_000
PC,ay_000,ba_008
PC,ay_000,cn_001
PC,ay_000,az_006
PC,ay_000,class
PC,dg_000,cb_000
PC,dg_000,ck_000
PC,dg_000,bc_000
PC,dg_000,ba_008
PC,dg_000,cn_001
PC,dg_000,az_006
PC,dg_000,class
LiNGAM,cb_000,ck_000
LiNGAM,cb_000,az_006
LiNGAM,cb_000,class
LiNGAM,ck_000,class
LiNGAM,ac_000,az_006
LiNGAM,ac_000,class
LiNGAM,ag_009,cb_000
LiNGAM,ag_009,ck_000
LiNGAM,ag_009,bc_000
LiNGAM,ag_009,ba_008
LiNGAM,ag_009,class
LiNGAM,ai_000,cb_000
LiNGAM,ai_000,ck_000
LiNGAM,ai_000,ag_009
LiNGAM,ai_000,bk_000
LiNGAM,ai_000,ba_008
LiNGAM,ai_000,class
LiNGAM,bq_000,ck_000
LiNGAM,bq_000,ac_000
LiNGAM,bq_000,ag_009
LiNGAM,bq_000,ba_008
LiNGAM,bm_000,cb_000
LiNGAM,bm_000,ck_000
LiNGAM,bm_000,bq_000
LiNGAM,bm_000,ba_008
LiNGAM,bk_000,bm_000
LiNGAM,bk_000,ba_008
LiNGAM,bk_000,class
LiNGAM,bc_000,cb_000
LiNGAM,bc_000,ck_000
LiNGAM,bc_000,class
LiNGAM,ba_008,cb_000
LiNGAM,ba_008,bc_000
LiNGAM,ba_008,az_006
LiNGAM,ba_008,class
LiNGAM,cn_001,cb_000
LiNGAM,cn_001,ck_000
LiNGAM,cn_001,ac_000
LiNGAM,cn_001,ag_009
LiNGAM,cn_001,bc_000
LiNGAM,cn_001,ba_008
LiNGAM,cn_001,class
LiNGAM,az_006,ck_000
LiNGAM,ay_000,cb_000
LiNGAM,ay_000,ba_008
LiNGAM,ay_000,class
LiNGAM,dg_000,cb_000
LiNGAM,dg_000,ck_000
LiNGAM,dg_000,ag_009
LiNGAM,dg_000,cn_001
LiNGAM,dg_000,class
