Algo,Source,Target
PC,cb_000,ck_000
PC,ay_008,cb_000
PC,ay_008,ag_009
PC,ay_008,bc_000
PC,ay_008,ag_002
PC,ay_008,cj_000
PC,ck_000,br_000_is_missing
PC,ck_000,class
PC,ag_009,cb_000
PC,ag_009,ck_000
PC,ac_000,cb_000
PC,ac_000,ay_008
PC,ac_000,ck_000
PC,ac_000,ag_009
PC,ac_000,bc_000
PC,ac_000,ba_008
PC,ac_000,az_006
PC,ac_000,br_000_is_missing
PC,ac_000,cj_000
PC,bc_000,cb_000
PC,bc_000,ag_009
PC,bc_000,az_006
PC,bc_000,ag_002
PC,bc_000,cj_000
PC,bc_000,class
PC,ba_008,bc_000
PC,ba_008,cj_000
PC,ba_008,class
PC,az_006,cb_000
PC,az_006,bq_000
PC,az_006,class
PC,bq_000,bc_000
PC,bq_000,bm_000
PC,bq_000,br_000_is_missing
PC,bk_000,cb_000
PC,bk_000,bq_000
PC,bk_000,bm_000
PC,bm_000,cb_000
PC,bm_000,ba_008
PC,br_000_is_missing,cb_000
PC,br_000_is_missing,ay_008
PC,br_000_is_missing,ag_009
PC,br_000_is_missing,bc_000
PC,br_000_is_missing,ba_008
PC,br_000_is_missing,az_006
PC,br_000_is_missing,ag_002
PC,br_000_is_missing,cj_000
PC,br_000_is_missing,class
PC,ai_000,cb_000
PC,ai_000,ay_008
PC,ai_000,ck_000
PC,ai_000,ag_009
PC,ai_000,bc_000
PC,ai_000,ba_008
PC,ai_000,az_006
PC,ai_000,cj_000
PC,ai_000,class
PC,ag_002,cb_000
PC,ag_002,ck_000
PC,ag_002,ag_009
PC,ag_002,ba_008
PC,ag_002,az_006
PC,ag_002,cj_000
PC,ag_002,class
PC,dg_000,ck_000
PC,dg_000,ba_008
PC,dg_000,az_006
PC,dg_000,ag_002
PC,dg_000,cj_000
PC,dg_000,class
PC,cj_000,cb_000
PC,cj_000,class
PC,ay_000,cb_000
PC,ay_000,ck_000
PC,ay_000,ag_009
PC,ay_000,ba_008
PC,ay_000,az_006
PC,ay_000,ag_002
PC,ay_000,cj_000
PC,ay_000,class
LiNGAM,cb_000,ck_000
LiNGAM,cb_000,class
LiNGAM,ay_008,az_006
LiNGAM,ck_000,ay_008
LiNGAM,ck_000,az_006
LiNGAM,ck_000,class
LiNGAM,ag_009,cb_000
LiNGAM,ag_009,ck_000
LiNGAM,ag_009,bc_000
LiNGAM,ag_009,ba_008
LiNGAM,ag_009,az_006
LiNGAM,ac_000,az_006
LiNGAM,ac_000,br_000_is_missing
LiNGAM,ac_000,class
LiNGAM,bc_000,cb_000
LiNGAM,bc_000,ay_008
LiNGAM,bc_000,ck_000
LiNGAM,bc_000,class
LiNGAM,ba_008,ay_008
LiNGAM,ba_008,bc_000
LiNGAM,ba_008,az_006
LiNGAM,bq_000,ac_000
LiNGAM,bq_000,br_000_is_missing
LiNGAM,bk_000,bm_000
LiNGAM,bk_000,br_000_is_missing
LiNGAM,bk_000,class
LiNGAM,bm_000,cb_000
LiNGAM,bm_000,ck_000
LiNGAM,bm_000,bq_000
LiNGAM,bm_000,br_000_is_missing
LiNGAM,br_000_is_missing,cb_000
LiNGAM,br_000_is_missing,ck_000
LiNGAM,br_000_is_missing,ag_009
LiNGAM,br_000_is_missing,ba_008
LiNGAM,br_000_is_missing,az_006
LiNGAM,br_000_is_missing,class
LiNGAM,ai_000,cb_000
LiNGAM,ai_000,ay_008
LiNGAM,ai_000,ck_000
LiNGAM,ai_000,ag_009
LiNGAM,ai_000,ba_008
LiNGAM,ai_000,bk_000
LiNGAM,ai_000,br_000_is_missing
LiNGAM,ai_000,class
LiNGAM,ag_002,ay_008
LiNGAM,ag_002,ck_000
LiNGAM,ag_002,ac_000
LiNGAM,ag_002,ba_008
LiNGAM,ag_002,br_000_is_missing
LiNGAM,ag_002,ai_000
LiNGAM,ag_002,cj_000
LiNGAM,ag_002,class
LiNGAM,dg_000,cb_000
LiNGAM,dg_000,ck_000
LiNGAM,dg_000,ag_009
LiNGAM,dg_000,ag_002
LiNGAM,dg_000,cj_000
LiNGAM,dg_000,class
LiNGAM,cj_000,ag_009
LiNGAM,cj_000,ba_008
LiNGAM,cj_000,class
LiNGAM,ay_000,cb_000
LiNGAM,ay_000,ba_008
LiNGAM,ay_000,class
